run,selected_i_step,source_file,source_frame_index_1based,symbols_ok,max_abs_diff_init_xyz,max_abs_diff_init_data,status
traj_001,810,C:\Users\Administrator\Desktop\pos\pos-a.xyz,406,True,0,0,PASS
traj_002,2432,C:\Users\Administrator\Desktop\pos\pos-a.xyz,1217,True,0,0,PASS
traj_003,4052,C:\Users\Administrator\Desktop\pos\pos-a.xyz,2027,True,0,0,PASS
traj_004,5674,C:\Users\Administrator\Desktop\pos\pos-a.xyz,2838,True,0,0,PASS
traj_005,7296,C:\Users\Administrator\Desktop\pos\pos-a.xyz,3649,True,0,0,PASS
traj_006,8918,C:\Users\Administrator\Desktop\pos\pos-a.xyz,4460,True,0,0,PASS
traj_007,10538,C:\Users\Administrator\Desktop\pos\pos-a.xyz,5270,True,0,0,PASS
traj_008,12160,C:\Users\Administrator\Desktop\pos\pos-a.xyz,6081,True,0,0,PASS
traj_009,13782,C:\Users\Administrator\Desktop\pos\pos-a.xyz,6892,True,0,0,PASS
traj_010,15404,C:\Users\Administrator\Desktop\pos\pos-a.xyz,7703,True,0,0,PASS
traj_011,17024,C:\Users\Administrator\Desktop\pos\pos-a.xyz,8513,True,0,0,PASS
traj_012,18646,C:\Users\Administrator\Desktop\pos\pos-a.xyz,9324,True,0,0,PASS
traj_013,20268,C:\Users\Administrator\Desktop\pos\pos-a.xyz,10135,True,0,0,PASS
traj_014,21890,C:\Users\Administrator\Desktop\pos\pos-a.xyz,10946,True,0,0,PASS
traj_015,23510,C:\Users\Administrator\Desktop\pos\pos-a.xyz,11756,True,0,0,PASS
traj_016,25132,C:\Users\Administrator\Desktop\pos\pos-a.xyz,12567,True,0,0,PASS
traj_017,26754,C:\Users\Administrator\Desktop\pos\pos-a.xyz,13378,True,0,0,PASS
traj_018,28376,C:\Users\Administrator\Desktop\pos\pos-a.xyz,14189,True,0,0,PASS
traj_019,29996,C:\Users\Administrator\Desktop\pos\pos-a.xyz,14999,True,0,0,PASS
traj_020,31618,C:\Users\Administrator\Desktop\pos\pos-a.xyz,15810,True,0,0,PASS
traj_021,812,C:\Users\Administrator\Desktop\pos\pos-b.xyz,407,True,0,0,PASS
traj_022,2438,C:\Users\Administrator\Desktop\pos\pos-b.xyz,1220,True,0,0,PASS
traj_023,4064,C:\Users\Administrator\Desktop\pos\pos-b.xyz,2033,True,0,0,PASS
traj_024,5688,C:\Users\Administrator\Desktop\pos\pos-b.xyz,2845,True,0,0,PASS
traj_025,7314,C:\Users\Administrator\Desktop\pos\pos-b.xyz,3658,True,0,0,PASS
traj_026,8940,C:\Users\Administrator\Desktop\pos\pos-b.xyz,4471,True,0,0,PASS
traj_027,10566,C:\Users\Administrator\Desktop\pos\pos-b.xyz,5284,True,0,0,PASS
traj_028,12192,C:\Users\Administrator\Desktop\pos\pos-b.xyz,6097,True,0,0,PASS
traj_029,13816,C:\Users\Administrator\Desktop\pos\pos-b.xyz,6909,True,0,0,PASS
traj_030,15442,C:\Users\Administrator\Desktop\pos\pos-b.xyz,7722,True,0,0,PASS
traj_031,17068,C:\Users\Administrator\Desktop\pos\pos-b.xyz,8535,True,0,0,PASS
traj_032,18694,C:\Users\Administrator\Desktop\pos\pos-b.xyz,9348,True,0,0,PASS
traj_033,20320,C:\Users\Administrator\Desktop\pos\pos-b.xyz,10161,True,0,0,PASS
traj_034,21944,C:\Users\Administrator\Desktop\pos\pos-b.xyz,10973,True,0,0,PASS
traj_035,23570,C:\Users\Administrator\Desktop\pos\pos-b.xyz,11786,True,0,0,PASS
traj_036,25196,C:\Users\Administrator\Desktop\pos\pos-b.xyz,12599,True,0,0,PASS
traj_037,26822,C:\Users\Administrator\Desktop\pos\pos-b.xyz,13412,True,0,0,PASS
traj_038,28448,C:\Users\Administrator\Desktop\pos\pos-b.xyz,14225,True,0,0,PASS
traj_039,30072,C:\Users\Administrator\Desktop\pos\pos-b.xyz,15037,True,0,0,PASS
traj_040,31698,C:\Users\Administrator\Desktop\pos\pos-b.xyz,15850,True,0,0,PASS
